,User ID,Age (yrs),Gender,Country,Social Media Platform Used,Total Time Spent on the Platform (mins),Number of Logging In Sessions,Video Category,Time Spent On Video (mins),Videos Watched Count,Time of Day Usage Frequency,Impact on Productivity,User's Satisfaction with Platform,Video Motivation,Primary Device of Use,Perceived Self Control Level,Perceived Addiction Level,Concurrent Activity,Internet Connection Type,Age Band (yrs),Economic Group
0,1,56,Male,Pakistan,Instagram,80,17,Pranks,26,22,Night,3,7,Procrastination,Smartphone,5,5,Commuting,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
1,2,46,Female,Mexico,Instagram,228,14,Pranks,25,31,Afternoon,5,5,Habit,Computer,7,3,At school,Wi-Fi,45-54 (Older Adults),Developing
2,3,32,Female,United States,Facebook,30,6,Vlogs,9,7,Evening,6,4,Entertainment,Tablet,8,2,At home,Mobile Data,25-44 (Young Adults),Developed
3,4,60,Male,Brazil,YouTube,101,19,Vlogs,6,41,Night,3,7,Habit,Smartphone,5,5,Commuting,Mobile Data,55-64 (Seniors/Pre-retirement),Developing
4,5,25,Male,Pakistan,TikTok,136,6,Gaming,13,21,Morning,8,2,Boredom,Smartphone,10,0,At home,Mobile Data,25-44 (Young Adults),Developing
5,6,38,Male,Vietnam,Instagram,89,18,Jokes/Memes,27,16,Night,3,7,Entertainment,Computer,5,5,At home,Wi-Fi,35-44 (Mid Adults),Developing
6,7,56,Male,India,TikTok,247,5,Vlogs,22,20,Morning,8,2,Habit,Smartphone,10,0,At school,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
7,8,36,Male,Brazil,Instagram,191,6,Entertainment,28,43,Night,3,7,Entertainment,Tablet,5,5,At home,Mobile Data,35-44 (Mid Adults),Developing
8,9,40,Male,United States,Instagram,34,2,Vlogs,20,44,Night,3,7,Entertainment,Computer,5,5,At home,Mobile Data,35-44 (Mid Adults),Developed
9,10,28,Other,United States,YouTube,165,8,ASMR,4,47,Evening,6,4,Boredom,Smartphone,8,2,At home,Mobile Data,25-44 (Young Adults),Developed
10,11,28,Male,Indonesia,Instagram,14,15,Pranks,2,19,Afternoon,5,5,Boredom,Smartphone,7,3,At home,Mobile Data,25-44 (Young Adults),Developing
11,12,41,Other,Philippines,TikTok,129,15,Life Hacks,26,48,Evening,6,4,Habit,Tablet,8,2,At home,Wi-Fi,35-44 (Mid Adults),Developing
12,13,53,Male,Japan,Instagram,286,11,Gaming,4,32,Afternoon,5,5,Habit,Smartphone,7,3,At school,Mobile Data,45-54 (Older Adults),Developed
13,14,57,Male,Indonesia,Facebook,27,1,Vlogs,8,15,Evening,6,4,Entertainment,Tablet,8,2,Commuting,Wi-Fi,55-64 (Seniors/Pre-retirement),Developing
14,15,41,Other,Vietnam,YouTube,207,18,Gaming,13,5,Evening,6,4,Boredom,Tablet,8,2,At school,Wi-Fi,35-44 (Mid Adults),Developing
15,16,20,Female,Philippines,YouTube,66,12,Entertainment,10,11,Evening,6,4,Entertainment,Smartphone,8,2,At school,Mobile Data,18-24 (Youth),Developing
16,17,39,Female,Mexico,Facebook,102,12,ASMR,18,15,Afternoon,5,5,Habit,Smartphone,7,3,At home,Wi-Fi,35-44 (Mid Adults),Developing
17,18,19,Female,Brazil,Facebook,28,11,ASMR,9,29,Evening,6,4,Habit,Smartphone,8,2,At home,Mobile Data,18-24 (Youth),Developing
18,19,41,Other,Japan,Facebook,202,8,Pranks,1,45,Evening,6,4,Entertainment,Smartphone,8,2,At work,Mobile Data,35-44 (Mid Adults),Developed
19,20,61,Male,United States,Instagram,246,7,Vlogs,13,4,Morning,8,2,Habit,Smartphone,10,0,At work,Mobile Data,55-64 (Seniors/Pre-retirement),Developed
